,Date,Country,Area,Location,Activity,Age,Time,Species,Month,Fatal,Sex
2132,14-Mar-1999,NEW ZEALAND,Unkown,Unkown,non representative,28,Unkown,"Mako shark, 1.3 m gaffed ",March,N,M
2133,08-Mar-1999,USA,Hawaii,"Kealia Beach, Kaua'i",non representative,18,Unkown,White shark,March,N,M
2134,05-Mar-1999,USA,Hawaii,"Quarter mile offshore in Kaanapali, West Maui",non representative,29,Unkown,3.7 m to 4.6 m [12' to 15'] shark seen in the vicinity,March,N,F
2135,26-Feb-1999,USA,North Carolina,Frying Pan Shoals,non representative,27.34582218257508,Unkown,Basking shark,February,N,M
2136,23-Feb-1999,AUSTRALIA,New South Wales,Scotts Head,surfing,35,evening,Bronze whaler or tiger shark,February,N,M
2137,03-Feb-1999,USA,Florida,"Hobe Sound, Martin County",surfing,25,afternoon,Spinner shark,February,N,M
2138,29-Jan-1999,MAURITIUS,Unkown,Belle-Mare,fishing,47,Unkown,Bull shark,January,N,M
2139, 13-Jan-1999,SOUTH AFRICA,Eastern Cape Province,Bonza Beach,non representative,27.34582218257508,Unkown,"White shark, 4 m [13'] ",January,N,M
2140,01-Jan-1999,NEW ZEALAND,North Island,"Papamoa, near Tauranga, Bay of Plenty",non representative,27.34582218257508,Unkown,White shark,January,N,M
2141,Reported 03-Jan-1999,AUSTRALIA,Northern Territory,Gulf of Carpenteria,non representative,37,Unkown,Shark involvement not confirmed,January,N,F
2142,03-Jan-1999,REUNION,Saint-Leu,Pointe au Sel,fishing,27.34582218257508,Unkown,Bull shark,January,F,M
2143,1999,SOUTH AFRICA,Western Cape Province,"Hospital Rock, Dyers Island",fishing,30,afternoon,"White shark, 4.6 m [15'] ",Unkown,N,M
2144,1999,USA,Virginia,"Sandridge Beach, Virginia Beach, Princess Anne County",non representative,27.34582218257508,Unkown,Shark involvement not confirmed,Unkown,N,M
2145,24-Dec-1998,USA,Florida,"Ormond Beach, Volusia County",surfing,19,morning,White shark,December,N,M
2146,22-Dec-1998,AUSTRALIA,South Australia,Middleton Beach,walking,21,afternoon,White shark,December,N,F
2147,Reported 20-Dec-1998,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",surfing,18,evening,Possibly a white shark,December,N,M
2148,18-Dec-1998,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,non representative,14,Unkown,White shark,December,N,M
2149,15-Dec-1998,AUSTRALIA,South Australia,Middleton Beach,surfing,21,afternoon,White shark,December,N,F
2150,21-Nov-1998,USA,Florida,"Ocean Beach, Jaycee Park, Vero Beach, Indian River County",swimming,9,afternoon,Tiger shark,November,F,M
2151,14-Nov-1998,USA,Florida,"New Smyrna Beach, Volusia County",surfing,14,Unkown,1.2 m [4'] shark,November,N,M
2152,11-Nov-1998,USA,Florida,"South Beach Park, Indian River County",walking,13,evening,"A ""small shark""",November,N,M
2153,05-Nov-1998,USA,Oregon,Winchester Bay,surfing,32,Unkown,"White shark, 5 m  to 6 m [16.5' to 20'] ",November,N,M
2154,02-Nov-1998,JAPAN,Southern Japan,460 miles off Iwakuni,non representative,52,Unkown,6' shark,November,N,M
2155,02-Nov-1998,BRAZIL,Pernambuco," Boa Viagem Beach, Recife",surfing,22,afternoon,Though to involve a white shark,November,F,M
2156,24-Oct-1998,USA,Florida,"Jupiter Beach, Palm Beach County",swimming,17,afternoon,White shark,october,N,F
